Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Info
"Mumbai",01/01/2006,66.3,86.1,74.4,60.3,63.51,84.28,9.2,,255,0,0,,1.2,,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/02/2006,66.3,80.7,73.5,60.7,65.62,82.38,10.3,,331,0,0,,1.7,,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/03/2006,66.3,84.3,73.8,58.4,59.43,84.02,9.2,,307.27,0,0,,1.7,,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/04/2006,66.3,86.1,75.3,59.5,59.63,86.17,6.9,,317.14,0,0,,1.5,,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/05/2006,68.1,87.9,76.2,59.8,58.87,86.69,9.2,,226.36,0,0,,1.4,,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/06/2006,68.1,87.9,78.6,59.5,54.14,87.24,12.8,,175,0,0,,1.7,,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/07/2006,68.1,89.7,78.4,59.4,54.28,87.24,5.8,,203.64,0,0,,1.9,,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/08/2006,69.9,89.7,78.4,57.2,49.79,87.9,9.2,,166.67,0,0,,2,,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/09/2006,73.5,91.5,80.9,58.4,47.1,90.82,6.9,,93.33,0,0,,1.9,,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/10/2006,71.7,91.5,79.8,61,53.97,91.54,8.1,,248.89,0,0,,1.8,,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/11/2006,71.7,93.3,81.1,60,50,92.05,8.1,,292.5,0,0,,1.8,,,"Smoke Or Haze",18.94017,72.83486,""
"Mumbai",01/12/2006,71.7,86.1,77.9,60.7,56.33,86.85,8.1,,241.43,0,0,,1.7,,,"Smoke Or Haze",18.94017,72.83486,""
